Title,TempId,body
General case/ Kannada,1707164622333122953,ಈ {#var#} ಸಮಸ್ಯೆಯ ಬಗ್ಗೆ ನಮಗೆ ತಿಳಿಸಿದ್ದಕ್ಕಾಗಿ ತುಂಬಾ ಧನ್ಯವಾದಗಳು. ನಾವು ಈ ಸಮಸ್ಯೆಯನ್ನು ಸಾಧ್ಯವಾದಷ್ಟು ಬೇಗ ಪರಿಹರಿಸುತ್ತೇವೆ. ಇನಾಚೆ ಸೇವೆಯನ್ನು ಬಳಸಿದ್ದಕ್ಕಾಗಿ ಧನ್ಯವಾದಗಳು. Shahi ಮ್ಯಾನೇಜ್ಮೆಂಟ್
Resolution/ English,1707164621549407143,"Your case about {#var#} has been resolved. Kindly send YES, if you are satisfied or NO if you are not satisfied with the resolution. Kindly Do Not respond to this message. Please send your reply to Inache number. Thank you for using Inache Service. Shahi Management"
Case registration acknowledgement/ English,1707164621568880677,Thank you for using Inache Service. Your Case No is {#var#}. Please DO NOT respond to this message. Send your reply to Inache number {#var#} . Shahi Management
POSH case 1/ English,1707164621448129554,hank you for informing us about this issue. We are here to help you. Your identity will not be revealed anywhere. Kindly meet the ICC Rep. {#var#} and file a written complaint for redressal. Thank you for using Inache Service. Shahi Management
General Reminder for using Inache/ English,1707164621585857567,"Please share your suggestions, queries, and problems on Inache number {#var#}. Shahi Management"
General Reminder for using Inache/ Hindi,1707164622350747323,"कृपया अपने सुझावों, प्रश्नों और समस्याओं को Inache नंबर {#var#} पर साझा करें। Shahi प्रबंधन"
Employee vaccination/ Hindi,1707164622359370972,{#var#} ने {#var#} अस्पताल के सहयोग से सभी कर्मचारियों के लिए निःशुल्क कोविड वैक्सीन {#var#} की व्यवस्था की है। इच्छुक लोगों से अनुरोध है कि वे अपना आधार कार्ड साथ लाएं और कारखाने में {#var#} से {#var#} के बीच टीकाकरण करवाएं। Shahi प्रबंधन
Greetings 1/ Hindi,1707164622361714249,{#var#} के शुभ अवसर पर; हम Shahi परिवार की ओर से आपको बधाई देते है। हमें उम्मीद है कि यह अवसर आपके लिए सुख और समृद्धि लाएगा । अपने सुझाव या समस्या ईनाचे के नंबर {#var#} पर कॉल या मैसेज करके बताएं। Shahi प्रबंधन
Greetings 1/ English,1707164621592008020,"On the auspicious occasion of {#var#}; we, from the whole Shahi family, congratulate you. We hope this occasion will bring happiness and prosperity to you. Please share your suggestions or problems on Inache number {#var#}. Shahi Management."
Greetings 2/ English,1707164621594565833,{#var#} best wishes for the day. Please share your suggestions or problems on Inache number {#var#}. Shahi Management.
Emergency/Unprecedented event/ Hindi,1707164622367006931,"{#var#} के मुद्दे के कारण,{#var#} विभाग/सुविधा {#var#} दिनों के लिए {#var#} से बंद रहेगा/ रहेगी। Shahi प्रबंधन"
Changes in timing of work and shifts/ Hindi,1707164622369551215,{#var#} से काम के साथ-साथ शिफ्ट के समय में भी बदलाव किया गया है। आपसे अनुरोध है कि पूरी जानकारी के लिए {#var#} देखें या मिले। Shahi प्रबंधन
Promotions and increments/ Hindi,1707164622376380860,आप सभी को सूचित किया जाता है कि आने वाले {#var#} दिनों में HR विभाग द्वारा पदोन्नति और वेतन वृद्धि की घोषणा की जाएगी। इस संबंधी जानकारी का ध्यान रखे। कृपया इस संदेश का उत्तर न दें। ईनाचे सेवा का उपयोग करने के लिए आपका धन्यवाद। Shahi प्रबंधन
Health check up camp/ Hindi,1707164622379200940,{#var#} से {#var#} दिनों/तारीख़ तक स्वास्थ्य विभाग की ओर से स्वास्थ्य जांच कैंप का आयोजन किया जाएगा। आप सभी से अनुरोध है कि {#var#} से {#var#} समय के दरम्यान कैंप में पधारें। आगे की जानकारी के लिए अपने संबंधित रिपोर्टिंग अधिकारियों से मिलें । कृपया इस संदेश का उत्तर न दें। ईनाचे सेवा का उपयोग करने के लिए आपका धन्यवाद। Shahi प्रबंधन
Awareness sessions/ Hindi,1707164622381237227,{#var#} विभाग की ओर से {#var#} दिन/तारीख़ पर {#var#} से {#var#} समय के दरम्यान {#var#} के बारे में एक जागरूकता कैंप का आयोजन किया जा रहा है। आप सभी को इस कैंप में भाग लेने की आवश्यकता है। कैंप में आने के अपने समय की जानकारी के लिए अपने संबंधित रिपोर्टिंग अधिकारियों से मिलें। कृपया इस संदेश का उत्तर न दें। ईनाचे सेवा का उपयोग करने के लिए आपका धन्यवाद। Shahi प्रबंधन
Content of voice call-1/ Hindi,1707164622119730422,आपकी आवाज साफ नहीं है। कृपया ईनाचे नंबर {#var#} पर फिर से कॉल करें और बीप की ध्वनि के बाद अपनी समस्या स्पष्ट रूप से साझा करें। ईनाचे सेवा का उपयोग करने के लिए धन्यवाद। Shahi प्रबंधन
